case,n,status,D_m,q,covered,true_source_contained
68,2,bounded,154.60805707540138,1.0000000000000013,True,True
68,3,bounded,11.036316957169063,1.0,True,True
68,5,bounded,5.955010571348527,1.0000000000000153,True,True
68,8,bounded,5.038293066403977,1.0012434243615937,False,True
68,12,bounded,5.038293066403909,1.0000000000000129,True,True
69,2,bounded,94.98996319422665,1.0000000000000016,True,True
69,3,bounded,35.82478577639926,1.000000000000003,True,True
69,5,bounded,17.161588781650952,1.0012795332760434,False,True
69,8,bounded,16.043016789543703,1.0000000000000047,True,True
69,12,bounded,6.779195395051735,1.000000000000013,True,True
70,2,bounded,35.82787955323269,1.0000000000000007,True,True
70,3,bounded,25.198160683783815,1.0000000000000009,True,True
70,5,bounded,23.60994980260576,1.0,True,True
70,8,bounded,22.357800480250884,1.0000000000000024,True,True
70,12,bounded,13.944136903031692,1.008017958949387,False,True
71,2,bounded,43.6973049879962,1.0000000000000058,True,True
71,3,bounded,42.772629616935454,1.0000000000000042,True,True
71,5,bounded,29.056379615558782,1.0000000000000002,True,True
71,8,bounded,12.046041066631064,1.0000000000000169,True,True
71,12,bounded,2.781251807744223,1.0004224902979715,False,True
72,2,bounded,17.625745537755023,1.0000000000000069,True,True
72,3,bounded,7.445506820050313,1.0,True,True
72,5,bounded,3.879832241905349,1.015237690237027,False,True
72,8,bounded,3.8798322419055755,1.0152376902370592,False,True
72,12,bounded,3.3091969030957267,1.0005615946476971,False,True
73,2,bounded,18.106194453896887,1.0,True,True
73,3,bounded,18.106194453896933,1.0000000000000024,True,True
73,5,bounded,15.40004918614505,1.0000000000000098,True,True
73,8,bounded,5.143455955614799,1.0076234559448247,False,True
73,12,bounded,4.3700199446756995,1.000863240121602,False,True
74,2,bounded,43.22590137205709,1.0000000000000022,True,True
74,3,bounded,42.48765232000772,1.0,True,True
74,5,bounded,16.117563634204917,1.0,True,True
74,8,bounded,10.80666028322971,1.0000000000000095,True,True
74,12,bounded,4.649304531429147,1.0168798382316129,False,True
75,2,bounded,39.13352538126195,1.0000000000000042,True,True
75,3,bounded,39.13352538126194,1.0000000000000022,True,True
75,5,bounded,34.714100867385234,1.0000000000000033,True,True
75,8,bounded,9.706082796917077,1.000151198754099,False,True
75,12,bounded,9.376216215143144,1.0000612703060894,False,True
76,2,bounded,19.59364358058551,1.0000000000000027,True,True
76,3,bounded,17.767779996020888,1.0000000000000027,True,True
76,5,bounded,15.202442943392352,1.0000000000000027,True,True
76,8,bounded,12.588023044037925,1.0,True,True
76,12,bounded,8.634345553550707,1.0,True,True
77,2,bounded,47.904102393011435,1.0000000000000016,True,True
